#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
BS_1GMX5YEM	EUR		0.0000	0.0000	0.0347	0.0000	0.9653	1.7287	11.3186	5.7688	8.6775	-2.0715	-1.4739	0.1336	-3.4914	3.6713	-0.8087
BS_1HQWNZCB	EUR		0.0000	0.0000	0.1403	0.0000	0.8597	4.3015	8.4709	1.7707	7.7493	0.9698	-5.9609	3.0287	-0.6984	3.3095	-2.2412
BS_1K0Q5YZY	AMR		0.0000	0.0127	0.9873	0.0000	0.0000	0.5184	-1.4181	9.4247	-4.0007	-5.0789	-0.3588	3.4213	-3.1174	4.4933	0.9094
BS_1KR45PME	SAS		0.0000	0.0000	0.0000	0.9997	0.0002	4.2637	1.8829	-5.2893	1.2207	-2.6477	-0.6358	0.8024	-0.9136	5.2956	-3.2829
BS_1KT7DF0G	AFR		0.0000	0.7709	0.2291	0.0000	0.0000	24.5203	-2.2526	-1.2613	5.4444	-2.5166	-3.2844	0.4860	0.3564	3.7503	-1.2848
BS_1MMZN94J	EUR		0.0000	0.0000	0.0331	0.0000	0.9669	3.5707	12.8790	2.7000	7.5167	-1.7873	-2.6319	0.8913	-1.7127	2.7455	-0.9911
BS_1NPNHFPC	AFR		0.0000	0.9985	0.0015	0.0000	0.0000	48.0803	-11.0959	0.5880	4.2591	-4.5601	-1.7585	1.5872	-2.3912	5.0450	0.2620
BS_1Q9PXTH7	EUR		0.0000	0.0000	0.0641	0.0000	0.9359	1.5919	10.3618	3.2986	7.0606	-1.3795	-4.4197	2.6186	-2.3449	6.1794	1.9612
BS_1RA2RC8A	EUR		0.0000	0.0000	0.0523	0.0000	0.9477	1.7222	12.6962	3.8967	5.6513	-0.7610	-1.7517	1.9477	-0.6618	4.2696	0.9714
BS_1S2BHJ8K	EUR		0.0000	0.0000	0.0570	0.0000	0.9430	-0.1755	11.1003	6.7195	6.5718	-3.8891	-1.6197	3.4576	0.1632	4.4109	-1.4135
BS_1VKV3MYJ	EUR		0.0000	0.0000	0.0547	0.0000	0.9453	1.4765	8.2566	4.2411	7.2752	-5.0970	1.5520	1.7611	-1.7322	6.0708	-2.0764
BS_1Y2ZF50H	AMR		0.0016	0.0006	0.5902	0.0009	0.4067	7.2816	5.6504	2.7402	5.3074	-2.9190	-1.3768	0.9860	0.0741	1.1451	-0.9624
BS_1YTHM07J	EUR		0.0000	0.0000	0.0347	0.0000	0.9653	1.1411	10.9342	4.7430	8.3946	-3.6225	-2.4726	1.7599	-2.9604	4.3803	-0.1637
BS_1Z7833P7	EUR		0.0000	0.0000	0.0565	0.0000	0.9435	2.5719	10.0073	2.8748	8.7351	-2.9816	-6.7308	1.4115	-0.7206	5.4322	-2.4569
BS_1Z7Y81NW	EUR		0.0000	0.0000	0.0340	0.0000	0.9660	2.8590	11.2065	5.1575	9.2278	-1.1687	-0.7812	-0.2518	-1.1581	5.2805	-0.5028
BS_22PCHWT3	EUR		0.0000	0.0000	0.0216	0.0000	0.9784	1.0570	12.2120	4.4974	8.3393	-3.0957	0.1499	0.3199	-0.8397	4.4132	-1.4072
BS_23EJJGP1	EUR		0.0000	0.0000	0.0124	0.0000	0.9876	0.8511	14.4740	4.5689	7.9673	-2.9047	0.4601	3.3093	-0.8666	5.3697	1.4432
