#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
NA12045	EUR	EUR	0.0000	0.0000	0.0042	0.0000	0.9958	0.7511	-14.2211	-5.8336	9.2484	-0.9741	1.0342	0.8151	4.7378	-0.3632	-6.4655
HG02419	AFR	AFR	0.0000	0.9997	0.0003	0.0000	0.0000	57.9067	15.9111	0.3060	1.8615	0.8684	0.7624	-4.7384	-1.2765	1.6788	-0.8372
NA18979	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.4103	42.1218	-2.5149	5.3319	6.2876	-3.4369	0.4476	1.9843	0.3314	0.2703
HG03894	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	3.0943	9.1392	21.4415	-2.4750	-0.2623	2.2147	-2.6383	-2.3484	-1.1498	-3.2817
HG02032	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.9461	43.9881	-2.3428	7.3690	-6.3686	-3.4727	-2.1926	0.1493	-0.8785	1.1878
NA20582	EUR	EUR	0.0000	0.0000	0.1388	0.0000	0.8612	0.7783	-13.8155	-5.1674	8.9630	-3.8950	-2.2174	-1.3555	2.8902	-2.6655	2.2811
NA18989	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.5470	43.1325	-2.1215	5.7449	7.6268	-3.5369	-3.1259	0.9991	1.9132	2.6015
HG01938	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	-7.9443	24.0665	-24.2939	-40.0579	2.8043	2.7331	-3.6377	4.7113	-0.8104	0.6464
HG00690	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.1016	44.0647	-2.1207	7.0376	-2.1804	1.8834	0.5418	1.8035	0.7138	1.5823
HG00358	EUR	EUR	0.0000	0.0000	0.0000	0.0000	1.0000	-0.0563	-6.0471	-4.8741	9.4888	11.2635	8.1485	0.1247	-0.1046	0.8639	-0.4134
HG03995	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.7954	9.5061	21.8879	-3.7290	2.1099	3.0881	-3.2208	1.1994	0.1973	2.1440
HG01167	AMR	AMR	0.0000	0.0078	0.9922	0.0000	0.0000	13.8788	0.3073	-7.3256	1.5167	-1.8899	-1.2996	-3.7798	3.2975	0.2000	-6.0883
NA19088	EAS	EAS	0.9999	0.0000	0.0001	0.0000	0.0000	-7.9933	43.2225	-2.3130	6.1089	5.9688	-1.9380	-2.1038	3.2624	2.6684	-2.9444
HG03805	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.7074	12.2699	16.4118	-4.3101	-2.8126	0.0580	-2.6829	-2.0583	6.6596	-0.0375
HG01596	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.9100	43.2221	-0.8920	7.8067	-4.6114	4.3244	-5.5640	-2.1349	1.2123	-0.9087
NA11994	EUR	EUR	0.0000	0.0000	0.0225	0.0000	0.9775	-1.0111	-11.6514	-5.2913	9.4009	-1.1992	2.5142	-1.0397	4.7082	-2.8507	-3.5292
